review
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">I Just Loved it. One suggestion I want to add  I have received accessories while unboxing charger, Headphones, Phone Cover &amp; off course Oppo F11 Pro my phone but one thing which might be in the box it's Tampered Glass guard.which is missing. if it includes the Tampered glass guard too then it's a great product.....I will give 5 star to this product if I found tempered glass guard. Overall I satisfied with the package.</span>
            </span>"
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">max price max discount with no 100 % satisfaction , the sound input i mean when we taking calls the other persons not able to hear clearly , other persons always repeat once more. is it phone problem or mic problem not sure. other things are good. and little concerned over battery life fast charging is awesome and fast drying not appreciate</span>
            </span>"
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">Camera quality super awesome ..night photos are far above my expectations.. terrific<br>Battery life pretty good...<br>Fast charging great..<br>Quick delivery..<br>Had a minor spot on the pre installed screen gaurd.<br>Little bubble in side edge I guess it's manufacturer fault but dats negligible...<br>Although face recognition is not secure it can open by your photo also as saw in some YouTube reviews....value for money if bought under 15000</span>
            </span>"
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">1. The Best Thing Is In this Phone Is Pop Up Selfie...And The Camera Quality Is Just Wow . The 16 MP Front Camera Is Very Powerful Camera ... And The Night Mode Of the Back Camera is The Best for low Light Photograpy..<br>2. The 4000mah Battery Is Long Lasting...<br>And The VOOC 3.0 is very fast Just 0 to 100% charge Is in 50 min ...The Charging is super No Need of Type C Charger...<br>3. Face recognition is very fast in it's quality.<br>4. Display is Very Bright And The Design Is Very Sexy Design Because Of It's 3 color..<br>5. The Phone Is Very Fast and the best thing is OPPO GAME SPACE ... which booster your gaming performance...<br>If U Are confused to buy OPPO F11 PRO OR VIVO V15 PRO .. Then I should go for OPPO f11 pro ...</span>
            </span>"
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">- Good design<br>- Good camera<br>- Excellent full view display<br>- Gravity censor is just wow....You won't see it in Vivo V15PRO</span>
            </span>"
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">It's not good not worth no compared to local phone this phone not worth that much amount that's why one month before I purchase 25000 now one month in 21000 prices is down but options is not there so many compared to local phone there are out so many options futures also there near oppo f11 pro not options is there then music system also poor quality</span>
            </span>"
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">Like the mobile a lot .... Worth buying as per cost...superb battery life and voosh charger is too good super fast charging....finger sensor is awesome (quality wise), as other mobiles with same feature don't recognize my finger but this do....OPPO please give transparent back cover for it as my green color is not visible with the cover you provided.</span>
            </span>"
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">There is issue with the speaker of the phone , specially when you are on a call , sound is very low and 75% of the talk is inaudible and rest you have to guess.<br><br>The only good thing is the selfie camera which is superb . Undoubtedly one of the best selfie camera.<br><br>Fingerprint reader is very poor , face recognition also. Some cheap quality material in a high end Phone. Highly unsatisfied with the phone, waste of money.</span>
            </span>"
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">If you are looking for a phone in range of 20k,then oppo f11 pro will satisfy you more than any other mobile. The rising camera is an added beauty for this mobile which is really stunning in both looks and taking pictures. Battery capacity and stand by time is far better. The notch less display will help you view vidoes with more comfort and negligible interference. The vooc charger provided also works well. We have many mobiles with distinct or same features as this mobile has with a higher price, but apart from all of these OPPO F11 PRO do satisfy you in an affordable price. Thank you OPPO (The Official Indian Cricket Team Sponsor).</span>
            </span>"
"<span data-hook=""review-body"" class=""a-size-base review-text review-text-content""><span class="""">When I call someone he/she can't hear me while I can hear clearly her/his voice. Other performance are quit goot</span>
            </span>"
